operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery1PostingSummary|1602917812005|1602917807112|1564|12|1
LdbcSnbBiQuery25WeightedPaths|1602917812005|1602917808676|6122|1|1
LdbcSnbBiQuery2TopTags|1602917812005|1602917814799|185|2|1
LdbcSnbBiQuery4PopularCountryTopics|1602917812005|1602917814984|33|20|1
LdbcSnbBiQuery8RelatedTopics|1602917812005|1602917815018|161|100|1
LdbcSnbBiQuery17FriendshipTriangles|1602917812005|1602917815179|8|1|1
LdbcSnbBiQuery18PersonPostCounts|1602917812005|1602917815188|11883|136|1
LdbcSnbBiQuery9RelatedForums|1602917812005|1602917827072|663|29|1
LdbcSnbBiQuery19StrangerInteraction|1602917812005|1602917827735|77640|100|1
LdbcSnbBiQuery20HighLevelTopics|1602917812005|1602917905376|1475|3|1
LdbcSnbBiQuery5TopCountryPosters|1602917812005|1602917906852|174|100|1
LdbcSnbBiQuery10TagPerson|1602917812005|1602917907026|120|100|1
LdbcSnbBiQuery21Zombies|1602917812005|1602917907146|64|5|1
LdbcSnbBiQuery22InternationalDialog|1602917812005|1602917907211|1928|39|1
LdbcSnbBiQuery11UnrelatedReplies|1602917812005|1602917909140|1448|100|1
LdbcSnbBiQuery23HolidayDestinations|1602917812005|1602917910589|66|100|1
LdbcSnbBiQuery24MessagesByTopic|1602917812005|1602917910656|7244|100|1
LdbcSnbBiQuery3TagEvolution|1602917812005|1602917917900|545|100|1
LdbcSnbBiQuery6ActivePosters|1602917812005|1602917918445|83|100|1
LdbcSnbBiQuery12TrendingPosts|1602917812005|1602917918528|1744|100|1
LdbcSnbBiQuery13PopularMonthlyTags|1602917812005|1602917920273|374|33|1
LdbcSnbBiQuery7AuthoritativeUsers|1602917812005|1602917920648|1619|100|1
LdbcSnbBiQuery14TopThreadInitiators|1602917812005|1602917922268|488|100|1
LdbcSnbBiQuery15SocialNormals|1602917812005|1602917922757|3|1|1
