operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918415045|622|20|5
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918415667|436|100|5
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918416103|60|100|5
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918416163|129|100|5
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918416294|2|3|5
LdbcSnbBiQuery21Zombies|1602918420005|1602918416296|24|9|5
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918416321|12053|364|5
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918428374|1335|100|5
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918429710|467|100|5
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918430178|6347|1|5
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918436525|1444|12|5
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918437969|27|20|5
LdbcSnbBiQuery2TopTags|1602918420005|1602918437997|169|1|5
LdbcSnbBiQuery10TagPerson|1602918420005|1602918438167|112|100|5
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918438280|3993|100|5
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918442274|33663|100|5
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918475937|129|100|5
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918476067|3230|6|5
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918479298|310|33|5
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918479608|1248|39|5
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918480857|313|33|6
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918481170|1236|39|6
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918482407|1417|12|6
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918483824|58|100|6
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918483883|7|1|6
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918483890|1719|100|6
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918485610|193|100|6
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918485804|465|100|6
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918486269|1635|100|6
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918487905|599|28|6
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918488504|6123|1|6
LdbcSnbBiQuery21Zombies|1602918420005|1602918494628|60|8|6
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918494689|88|100|6
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918494777|2|1|6
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918494780|481|100|6
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918495262|11696|364|6
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918506958|1325|100|6
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918508284|1098|3|6
LdbcSnbBiQuery10TagPerson|1602918420005|1602918509382|110|100|6
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918509493|27|20|6
LdbcSnbBiQuery2TopTags|1602918420005|1602918509520|165|2|6
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918509685|136|100|6
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918509822|3057|100|6
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918512880|57350|100|6
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918570230|2486|100|7
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918572716|50185|100|7
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918622902|5238|100|7
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918628140|185|100|7
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918628326|1480|12|7
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918629807|311|33|7
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918630119|1256|39|7
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918631375|1730|100|7
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918633106|56|100|7
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918633163|7|1|7
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918633170|1|2|7
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918633171|618|3|7
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918633790|1766|100|7
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918635558|1761|100|7
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918637319|114|100|7
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918637433|6410|0|7
LdbcSnbBiQuery21Zombies|1602918420005|1602918643844|52|7|7
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918643896|109|100|7
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918644006|1387|3|7
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918645394|12207|364|7
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918657601|1472|100|7
LdbcSnbBiQuery2TopTags|1602918420005|1602918659074|162|1|7
LdbcSnbBiQuery10TagPerson|1602918420005|1602918659237|116|100|7
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918659353|27|20|7
LdbcSnbBiQuery10TagPerson|1602918420005|1602918659380|82|100|8
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918659462|23|20|8
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918659486|98|100|8
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918659585|1320|39|8
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918660905|2073|100|8
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918662979|1076|100|8
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918664056|30351|100|8
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918694408|262|33|8
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918694670|153|100|8
